source_file,country,country_justification,country_alpha_3_code,country_alpha_3_code_justification,partner_management,partner_management_justification,hbv_screening_for_hbsag,hbv_screening_for_hbsag_justification,vaccination_for_hbv,vaccination_for_hbv_justification,vaccination_for_hpv,vaccination_for_hpv_justification,syphilis_screening,syphilis_screening_justification,ng_screening,ng_screening_justification,ct_screening,ct_screening_justification,error
"Bening_ENG_GUIDE NATIONAL DE MISE EN ŒUVRE DE LA PROPHYLAXIE PRE EXPOSITION FINAL (1) copy.pdf","Benin","Document title","BEN","Country name identified as Benin","not specified","not found","yes","Page 28, Table III: HBVsAg negative: Explore and offer hepatitis B vaccination. Page 29, 'Search for special considerations related to hepatitis B': If the HBsAg result is positive, the client can be initiated on continuous PrEP.","yes","Page 28: HBsAg negative: Explore and offer hepatitis B vaccination (in accordance with national hepatitis guidelines)","not specified","not found","yes","Page 20, Table I: 'History of syphilis or another bacterial, viral or parasitic STI, anal;' Page 29, Syndromic screening of STI: If STI, manage STI according to standard STI treatment guidelines. Page 15: 'PrEP is not incompatible with condom, it can even be used as a complement... Regularly screening for HIV and other STIs (and their treatment);' Page 33: 'Provide regular HIV testing as well as testing and treatment for other sexually transmitted infections (STIs);'","yes","Page 15: 'PrEP is not incompatible with condom, it can even be used as a complement... Regularly screening for HIV and other STIs (and their treatment);' Page 33: 'Provide regular HIV testing as well as testing and treatment for other sexually transmitted infections (STIs);' Page 15: 'It is important to remember that PrEP like PEP only protects against HIV, not others. sexually transmitted infections such as gonorrhea...'","yes","Page 15: 'PrEP is not incompatible with condom, it can even be used as a complement... Regularly screening for HIV and other STIs (and their treatment);' Page 33: 'Provide regular HIV testing as well as testing and treatment for other sexually transmitted infections (STIs);' Page 15: 'It is important to remember that PrEP like PEP only protects against HIV, not others. sexually transmitted infections such as gonorrhea, condyloma, chlamydia...'",""
"Botswana Handbook_HIV_treatment_guidelines.pdf","Botswana","Document title mentions Botswana","BWA","Country code for Botswana","not specified","not found","not specified","not found","not specified","not found","not specified","not found","not specified","not found","not specified","not found","not specified","not found",""
"Burundi 2020.10 PLAN DE MISE EN OEUVRE DES DIRECTIVES DE TARV 2020_VF PREFACEE_09 Oct 2020.fr.en.pdf","Burundi","","BDI","","no","not found","yes","APPENDIX 1: ALGORITHM OF PrEP; Other recommended actions: Hepatitis B assessment","yes","APPENDIX 1: ALGORITHM OF PrEP; Other recommended actions: Vaccinate if indicated","no","not found","yes","APPENDIX 1: ALGORITHM OF PrEP; Other recommended actions: Assessment and treatment of STIs if indicated","no","not found","no","not found",""
"Eritrea PrEP guidelines 2019-Ministry of Health.pdf","Eritrea","Document title and content refer to Eritrea","ERI","Document title and content refer to Eritrea","not specified","not found","yes","Page 14, Section 1.5.2, mentions 'Hepatitis B surface antigen (HBsAg) screening prior to PrEP initiation'","not specified","not found","not specified","not found","yes","Page 14, Section 1.5.2, mentions 'Screening for STIs (syndromic/diagnostic)'","yes","Page 14, Section 1.5.2, mentions 'Screening for STIs (syndromic/diagnostic)'","yes","Page 14, Section 1.5.2, mentions 'Screening for STIs (syndromic/diagnostic)'",""
"Eswatini  PrEP Implementation guide.pdf","Eswatini","Document title and content indicate Eswatini.","SWZ","Country name Eswatini corresponds to SWZ.","not specified","The document does not mention partner(s) testing, treatment, management, or contact tracing in the context of STIs.","yes","Page 14 mentions 'Hepatitis B surface antigen' as an initiation step and states 'HBsAg negative' and 'HBsAg positive' should be handled differently. Page 12 also lists 'Hepatitis screening, creatinine clearance monitoring' as part of the minimum package.","yes","Page 14 states 'HBsAg negative: Offer hepatitis B vaccination if not previously completed at 0, 1, and 6 months (as per national hepatitis guidelines).'","not specified","The document does not mention HPV vaccination.","no","The document mentions 'STI screening, diagnosis, and treatment' as part of the minimum package on page 12, but does not specifically mention screening for syphilis.","no","The document mentions 'STI screening, diagnosis, and treatment' as part of the minimum package on page 12, but does not specifically mention screening for Neisseria gonorrhoeae.","no","The document mentions 'STI screening, diagnosis, and treatment' as part of the minimum package on page 12, but does not specifically mention screening for Chlamydia trachomatis.",""
"Final Interactive -Lesotho HIV Prevention-Treatment and Care guideline (2022).pdf","Lesotho","","LSO","","yes","Page 38, section 3.5 mentions that for partners of PLHIV with drug resistance, genotypic resistance testing should be collected and evaluated. Page 39 suggests consulting an expert if PrEP is not given.","yes","Page 37, Table 3.1 indicates Hepatitis B surface antigen (HBsAg) testing is recommended at baseline for clients initiating PrEP. Page 40 also mentions HBsAg testing in the context of ART and TPT.","no","Not specified in relation to PrEP.","no","Not specified in relation to PrEP.","yes","Page 37, Table 3.1 indicates STI diagnostic tests are recommended at baseline for clients initiating PrEP. Page 38 mentions RPR testing in the context of baseline laboratory tests for PrEP clients.","yes","Page 38 mentions STI screening as part of the initial visit assessment for PrEP clients. This would implicitly include screening for common STIs like Gonorrhoea and Chlamydia.","yes","Page 38 mentions STI screening as part of the initial visit assessment for PrEP clients. This would implicitly include screening for common STIs like Gonorrhoea and Chlamydia.",""
"Finale_CONSOLIDATED GUIDELINES FOR HIV CARE IN GHANA _booklet copy NEW FINAL (2).pdf","Ghana","Cover page and throughout the document","GHA","Cover page and throughout the document","yes","Page 148, section 'Summary of Pre-exposure prophylaxis visits and procedures': 'Assess risk and eligibility --thorough history (sexual) and physical examination.'","yes","Page 149, section 'Summary of Pre-exposure prophylaxis visits and procedures': 'Conduct relevant laboratory tests—HIV test, Creatinine Clearance and HBsAg and Confirm eligibility (including investigation results and creatinine clearance (CrCl-calculation)).'","not specified","not found","not specified","not found","yes","Page 150, section 'Tests': '4th Month—HIV test, STI symptom screening, CrCl,' and '6 monthly afterwards—CrCl, STI symptom screening, rapid syphilis test and HIV test.'","yes","Page 150, section 'Tests': '4th Month—HIV test, STI symptom screening, CrCl,' and '6 monthly afterwards—CrCl, STI symptom screening, rapid syphilis test and HIV test.'","yes","Page 150, section 'Tests': '4th Month—HIV test, STI symptom screening, CrCl,' and '6 monthly afterwards—CrCl, STI symptom screening, rapid syphilis test and HIV test.'",""
"Mali_NORMES-ET-PROTOCOLES-DE-PRISE-EN-CHARGE-ANTIRETROVIRALE_VALIDE_19-VF-070220-1.pdf","Mali","Document title","MLI","Document title","yes","Page 80 mentions ""partage du statut VIH dans le couple"" and ""absence d'infections sexuellement transmissibles chez le ou la partenaire destiné à recevoir la PrEP"" and ""absence d'infections sexuellement transmissibles chez le ou la partenaire sous traitement ARV"".","yes","Page 81 mentions ""Bilan VIH, IST et Hépatite B"" as part of the initial consultation for PrEP.","yes","Page 78 mentions ""La vaccination contre l'hépatite virale B sera faite à la personne victime si l'Ag HBs et les anti-HBc sont négatifs.""","no","not found","yes","Page 81 mentions ""Bilan VIH, IST et Hépatite B"" as part of the initial consultation for PrEP. Also page 81 mentions ""Bilan VIH et IST"" for the follow-up consultation.","yes","Page 81 mentions ""Bilan VIH, IST et Hépatite B"" as part of the initial consultation for PrEP. Also page 81 mentions ""Bilan VIH et IST"" for the follow-up consultation.","yes","Page 81 mentions ""Bilan VIH, IST et Hépatite B"" as part of the initial consultation for PrEP. Also page 81 mentions ""Bilan VIH et IST"" for the follow-up consultation.",""
"PrEP Implementation manual (1).pdf","Ethiopia","Page 1, Header","ETH","Page 1, Header","not specified","not found","yes","Page 12, IX. THE EXCLUSION CRITERIA AND CONTRAINDICATIONS FOR PrEP; Page 14, Table – 2: Initial visit procedures; Page 19, Figure: PrEP Screening and Initiation Algorithm","no","not found","no","not found","yes","Page 14, Table – 2: Initial visit procedures; Page 15, Table - 3: Follow – up after initiation","yes","Page 14, Table – 2: Initial visit procedures; Page 15, Table - 3: Follow – up after initiation","yes","Page 14, Table – 2: Initial visit procedures; Page 15, Table - 3: Follow – up after initiation",""
"Sierre Leone_Consolidated_HIV_Guidelines_.pdf","Sierra Leone","Document title and content indicate Sierra Leone.","SLE","ISO 3166-1 alpha-3 code for Sierra Leone.","not specified","The document mentions 'Partner notification is where the client is empowered with information and skills on how to disclose to a partner; this is purely done by the client him/herself.' and 'Assisted partner notification is where the client is joined or supported by healthcare worker or person of choice in disclosing their status to the partner', but does not explicitly link this to STI management of partners.","yes","Page 66: 'Screening for PrEP eligibility...Assess for hepatitis B infection'","not specified","The document does not mention Hepatitis B vaccination in the context of PrEP.","not specified","The document mentions HPV vaccination for cervical cancer prevention (Page 72) but not in the context of PrEP services.","yes","Page 66: 'Screening for PrEP eligibility...Confirm HIV-negative status'","not specified","The document mentions screening for STIs in general (Page 71) but does not specify Neisseria gonorrhoeae screening for PrEP users.","not specified","The document mentions screening for STIs in general (Page 71) but does not specify Chlamydia trachomatis screening for PrEP users.",""
