country_alpha_3_code,country,partner_management,partner_management_justification,hbv_screening_for_hbsag,hbv_screening_for_hbsag_justification,vaccination_for_hbv,vaccination_for_hbv_justification,vaccination_for_hpv,vaccination_for_hpv_justification,syphilis_screening,syphilis_screening_justification,ng_screening,ng_screening_justification,ct_screening,ct_screening_justification
ALB,Albania,ERR: yes (REF: no),"ALB HIV Guidelines ENG.pdf: Page 58, Table, Counselling row: 'Assess intimate partner violence and gender based violence.'",yes,"ALB HIV Guidelines ENG.pdf: Page 57, Table 35, HBsAg row: 'At the beginning. If you vaccinate negatively. If positive, refer to your hepatologist and advise against stopping PrEP due to the risk of inflaming hepatitis.'",yes,"ALB HIV Guidelines ENG.pdf: Page 57, Table 35, Review vaccinations row: 'First (focus on HBV, HPV, HAV, DT)'",yes,"ALB HIV Guidelines ENG.pdf: Page 57, Table 35, Review vaccinations row: 'First (focus on HBV, HPV, HAV, DT)'",yes,"ALB HIV Guidelines ENG.pdf: Page 57, Table 35, VDRL or RPR row: 'First, and repeat every six months.'",yes,"ALB HIV Guidelines ENG.pdf: Page 57, Table 35, CT/NG row: 'Depending on availability, at the beginning and every 6 months (rectal PCR, tampon and urine).'",yes,"ALB HIV Guidelines ENG.pdf: Page 57, Table 35, CT/NG row: 'Depending on availability, at the beginning and every 6 months (rectal PCR, tampon and urine).'"
AND,Andorra,no,Justification not provided,yes,"AND PrEP Guidelines ENG.pdf: Page 7, Table 1 recommends screening for HBV using 'Anti HBs*, anti HBc and HBsAg serology'.",yes,"AND PrEP Guidelines ENG.pdf: Page 5 states, 'Vaccination against hepatitis A virus (HBV) and hepatitis B (HBV) and against human papillomavirus (HPV), if applicable (with complete regimen by age)'.",yes,"AND PrEP Guidelines ENG.pdf: Page 5 states, 'Vaccination against hepatitis A virus (HBV) and hepatitis B (HBV) and against human papillomavirus (HPV), if applicable (with complete regimen by age)'.",yes,"AND PrEP Guidelines ENG.pdf: Page 6, under 'Analytical determination', lists 'Syphilis' as part of the Sexually transmitted infections (STIs) screenings.",yes,"AND PrEP Guidelines ENG.pdf: Page 6, under 'Analytical determination', lists 'Gonorrhea' as part of the Sexually transmitted infections (STIs) screenings.",yes,"AND PrEP Guidelines ENG.pdf: Page 6, under 'Analytical determination', lists 'Chlamydia' as part of the Sexually transmitted infections (STIs) screenings."
ARG,Argentina,yes,"Argentina PrEP Guía de directrices clínicas_Final.pdf: Page 20, under ""Sífilis"": ""En caso de confirmarse infección por sífilis, se recomienda el tratamiento inmediato a la persona y su/s pareja/s de acuerdo a los algoritmos vigentes"". Page 20, under ""Gonorrea y clamidia"": ""Debe realizarse el tratamiento precoz de las personas en quienes se detecte infección por clamidia y gonococo y su/s pareja/s.""",yes,"Argentina PrEP Guía de directrices clínicas_Final.pdf: Page 14, ""Diagnóstico y tratamiento inicial de ITS"": ""HBV en individuos no vacunados (incluyendo detección de anticuerpos anti core [HBcAc], antígeno de superficie [HBsAg] y anticuerpos anti antígeno de superficie [HBsAc])"".",yes,"Argentina PrEP Guía de directrices clínicas_Final.pdf: Page 14, ""Inmunizaciones"": ""Todas las personas que sean candidatas a PrEP (independientemente de si finalmente la reciben o no) deben recibir inmunización contra HBV y HAV.""",yes,"Argentina PrEP Guía de directrices clínicas_Final.pdf: Page 9, ""1.9. Educación sexual integral (ESI)"": ""Es recomendable además la vacunación contra el virus del papiloma humano (VPH) en personas menores de 26 años que accedan a servicios de Prevención combinada, independientemente de si resultan elegibles para recibir PrEP.""",yes,"Argentina PrEP Guía de directrices clínicas_Final.pdf: Page 14, ""Diagnóstico y tratamiento inicial de ITS"": ""Se recomienda en todos los casos el screening de sífilis de acuerdo a las recomendaciones vigentes"". Page 17, Table 6 indicates screening at baseline and trimestral follow-up.",yes,"Argentina PrEP Guía de directrices clínicas_Final.pdf: Page 14, ""Diagnóstico y tratamiento inicial de ITS"": ""En los casos en los que esté disponible, se recomienda el screening de clamidia y gonorrea (incluyendo individuos asintomáticos) a través de la realización de pruebas moleculares en muestras uretrales y/o rectales..."" Page 17, Table 6 indicates screening for gonorrhea at baseline and trimestral follow-up.",yes,"Argentina PrEP Guía de directrices clínicas_Final.pdf: Page 14, ""Diagnóstico y tratamiento inicial de ITS"": ""En los casos en los que esté disponible, se recomienda el screening de clamidia y gonorrea (incluyendo individuos asintomáticos) a través de la realización de pruebas moleculares en muestras uretrales y/o rectales..."" Page 17, Table 6 indicates screening for chlamydia at baseline and trimestral follow-up."
ARM,Armenia,no,Justification not provided,yes,"ARM PrEP Guidelines ENG.pdf: Page 3, Point 9, sub-point 3: 'clarify the status of hepatitis B if HBsAg is positive should be guided by the hepatitis B'",yes,"ARM PrEP Guidelines ENG.pdf: Page 4, continuation of Point 9, sub-point 3: 'and if HBsAg is negative, it is recommended to test and vaccinate anti-HBc'",no,Justification not provided,yes,"ARM PrEP Guidelines ENG.pdf: Page 4, Point 9, sub-point 5: 'it's necessary to report that other sexually transmitted infections should be prevented, Before the NGO begins and receives the NGO, it is desirable to perform other sexually transmitted infections (syphilis, chlamydia) infections, Gonococcus infection, hepatitis C (HIV)) [3].'",yes,"ARM PrEP Guidelines ENG.pdf: Page 4, Point 9, sub-point 5: 'it's necessary to report that other sexually transmitted infections should be prevented, Before the NGO begins and receives the NGO, it is desirable to perform other sexually transmitted infections (syphilis, chlamydia) infections, Gonococcus infection, hepatitis C (HIV)) [3].'",yes,"ARM PrEP Guidelines ENG.pdf: Page 4, Point 9, sub-point 5: 'it's necessary to report that other sexually transmitted infections should be prevented, Before the NGO begins and receives the NGO, it is desirable to perform other sexually transmitted infections (syphilis, chlamydia) infections, Gonococcus infection, hepatitis C (HIV)) [3].'"
AUS,Australia,yes,"PrEP-guidelines-sep-2019.pdf: Page 46, under 'Testing for STIs', states: 'Partner notification should be undertaken using the most appropriate available resources.'",yes,"PrEP-guidelines-sep-2019.pdf: Page 43, Table 7.1 lists 'Hepatitis B serology' as a required test at baseline for PrEP initiation.",yes,"PrEP-guidelines-sep-2019.pdf: Page 43, Table 7.1, in the row for 'Hepatitis B serology', includes the instruction 'Vaccinate if non-immune'.",no,PrEP-guidelines-sep-2019.pdf: The document does not mention Human Papillomavirus (HPV) or its vaccination in the context of PrEP.,yes,"PrEP-guidelines-sep-2019.pdf: Page 43, Table 7.1 recommends STI testing for 'syphilis, gonorrhoea, chlamydia' at baseline and every 90 days thereafter.",yes,"PrEP-guidelines-sep-2019.pdf: Page 43, Table 7.1 recommends STI testing for 'syphilis, gonorrhoea, chlamydia' at baseline and every 90 days thereafter.",yes,"PrEP-guidelines-sep-2019.pdf: Page 43, Table 7.1 recommends STI testing for 'syphilis, gonorrhoea, chlamydia' at baseline and every 90 days thereafter."
AUT,Austria,yes,"Austria -Germany Leitlinien zur PrEP_Stand 2018.pdf: Page 26, under 'Abstimmung des Leitlinien-Gesamttexts', states: 'Eine Partner*innen-Mitbehandlung wird empfohlen.' which translates to 'Partner co-treatment is recommended.' This is mentioned in the context of STI therapy.",yes,"Austria -Germany Leitlinien zur PrEP_Stand 2018.pdf: Page 15, Recommendation 1.6, lists 'Ausschluss einer replikativen Hepatitis-B-Infektion mittels Serologie (HBs-Antigen, anti-HBc-Antikörper)' which translates to 'Exclusion of a replicative hepatitis B infection by means of serology (HBs antigen, anti-HBc antibody)'. Additionally, the table on page 20 confirms screening for HBsAg, antiHBsAk, and antiHBcAk before starting PrEP.",yes,"Austria -Germany Leitlinien zur PrEP_Stand 2018.pdf: Page 15, Recommendation 1.6, mentions: '...bzw. Prüfung der HBV-Immunität (HBs-Antikörper, ggfs. Impfung gegen HBV)' which translates to '...or checking for HBV immunity (HBs antibodies, if necessary vaccination against HBV)'.",no,Austria -Germany Leitlinien zur PrEP_Stand 2018.pdf: The document does not contain any mention of Human Papillomavirus (HPV) or its vaccine.,yes,"Austria -Germany Leitlinien zur PrEP_Stand 2018.pdf: The table on page 20, under '2.1 Notwendige Begleit- und Laboruntersuchungen', lists 'Lues-Serologie' (Syphilis serology) to be performed before starting PrEP, every 3 months during PrEP, and at the end of PrEP.",yes,"Austria -Germany Leitlinien zur PrEP_Stand 2018.pdf: The table on page 20, under '2.1 Notwendige Begleit- und Laboruntersuchungen', lists 'Gonorrhoe-NAAT**' to be performed before starting PrEP and every 3-6 months during PrEP from pharyngeal, anorectal, and genital sites.",yes,"Austria -Germany Leitlinien zur PrEP_Stand 2018.pdf: The table on page 20, under '2.1 Notwendige Begleit- und Laboruntersuchungen', lists 'Chlamydien-NAAT**' to be performed before starting PrEP and every 3-6 months during PrEP from pharyngeal, anorectal, and genital sites."
BHS,The Bahamas,ERR: yes (REF: no),"HIV PrEP GuidelinesSOP Bahamas.pdf: Table 1, under the 'Rationale' for 'Counselling', lists '-To assess intimate partner violence and gender based violence'.",yes,"HIV PrEP GuidelinesSOP Bahamas.pdf: Page 2, Section 2.2, Initiating PrEP: Baseline Evaluation and Management, lists 'Baseline Hepatitis B screening and renal function'. Table 1 also lists 'Hepatitis B surface antigen' as a recommended investigation.",yes,"HIV PrEP GuidelinesSOP Bahamas.pdf: Table 1, under the 'Rationale' for 'Hepatitis B surface antigen' testing, states: 'If negative, consider vaccination against hepatitis B.'",no,Justification not provided,yes,"HIV PrEP GuidelinesSOP Bahamas.pdf: Table 1, under 'Investigation/Intervention', lists 'Rapid plasma reagin (RPR)' with the rationale 'To diagnose and treat syphilis infection'.",no,HIV PrEP GuidelinesSOP Bahamas.pdf: The document recommends general 'STI screening' and 'syndromic or diagnostic STI testing' but does not specifically mention Neisseria gonorrhoeae or gonorrhoea.,no,HIV PrEP GuidelinesSOP Bahamas.pdf: The document recommends general 'STI screening' and 'syndromic or diagnostic STI testing' but does not specifically mention Chlamydia trachomatis or chlamydia.
BRB,Barbados,ERR: no (REF: yes),Justification not provided,yes,"Guidelines for PrEP for HIV Prevention in Barbados - Nov. 20, 2017.pdf: Page 17, Annex 3, Table, row 'Hepatitis B surface antigen': The document lists testing for ""Hepatitis B surface antigen"" as an investigation at the first visit.",yes,"Guidelines for PrEP for HIV Prevention in Barbados - Nov. 20, 2017.pdf: Page 17, Annex 3, Table, row 'Hepatitis B surface antigen', Rationale column: ""If negative, consider vaccination against hepatitis B.""",yes,"Guidelines for PrEP for HIV Prevention in Barbados - Nov. 20, 2017.pdf: Page 17, Annex 3, Table, row 'Review vaccination history', Rationale column: ""Depending on local guidelines, epidemiology and populations, consider vaccination for human papilloma virus.""",yes,"Guidelines for PrEP for HIV Prevention in Barbados - Nov. 20, 2017.pdf: Page 17, Annex 3, Table, row 'Screening for Sexually Transmitted Infection (STIs)', Rationale column: ""To diagnose and treat STIs (Syphilis, Chlamydia and Gonorrhea).""",yes,"Guidelines for PrEP for HIV Prevention in Barbados - Nov. 20, 2017.pdf: Page 17, Annex 3, Table, row 'Screening for Sexually Transmitted Infection (STIs)', Rationale column: ""To diagnose and treat STIs (Syphilis, Chlamydia and Gonorrhea).""",yes,"Guidelines for PrEP for HIV Prevention in Barbados - Nov. 20, 2017.pdf: Page 17, Annex 3, Table, row 'Screening for Sexually Transmitted Infection (STIs)', Rationale column: ""To diagnose and treat STIs (Syphilis, Chlamydia and Gonorrhea)."""
BLR,Belarus,no,Justification not provided,yes,"BLR HIV Guidelines ENG.pdf: Page 17, paragraph 75: ""Before prescribing PrEP, the following diagnostic measures are carried out: ... determination of HBsAg.""",no,Justification not provided,no,Justification not provided,ERR: yes (REF: no),"BLR HIV Guidelines ENG.pdf: Page 16, paragraph 74, lists syphilis as a sexually transmitted infection (STI). Page 18, paragraph 80, states that during PrEP, 'examination for STIs' is carried out.",ERR: yes (REF: no),"BLR HIV Guidelines ENG.pdf: Page 16, paragraph 74, lists gonorrhea as a sexually transmitted infection (STI). Page 18, paragraph 80, states that during PrEP, 'examination for STIs' is carried out.",ERR: yes (REF: no),"BLR HIV Guidelines ENG.pdf: Page 16, paragraph 74, lists chlamydia as a sexually transmitted infection (STI). Page 18, paragraph 80, states that during PrEP, 'examination for STIs' is carried out."
BEL,Belgium,no,Justification not provided,yes,"Belgian PrEP guidelines.pdf: Page 8, in the 'Follow-up' table, under the 'Hepatitis A/B screening and immunization' row, 'AgHBs' is listed as a recommended test.",yes,"Belgian PrEP guidelines.pdf: Page 7, in the 'Follow-up' table, the row 'HBV/HAV screening and immunization' is marked under the 'Before PrEP' column.",no,Justification not provided,yes,"Belgian PrEP guidelines.pdf: Page 7, in the 'Follow-up' table, 'Syphilis screening' is marked as required 'Before PrEP' and '3months later'.",yes,"Belgian PrEP guidelines.pdf: Page 7, in the 'Follow-up' table, 'Gonoccoque and Chlamydia screening' is marked as required 'Before PrEP' and '3months later'.",yes,"Belgian PrEP guidelines.pdf: Page 7, in the 'Follow-up' table, 'Gonoccoque and Chlamydia screening' is marked as required 'Before PrEP' and '3months later'."
